,Date,CPI,Unemployment rate
0,1948-01,23.68,3.4
1,1948-02,23.67,3.8
2,1948-03,23.5,4.0
3,1948-04,23.82,3.9
4,1948-05,24.01,3.5
5,1948-06,24.15,3.6
6,1948-07,24.4,3.6
7,1948-08,24.43,3.9
8,1948-09,24.36,3.8
9,1948-10,24.31,3.7
10,1948-11,24.16,3.8
11,1948-12,24.05,4.0
12,1949-01,24.01,4.3
13,1949-02,23.91,4.7
14,1949-03,23.91,5.0
15,1949-04,23.92,5.3
16,1949-05,23.91,6.1
17,1949-06,23.92,6.2
18,1949-07,23.7,6.7
19,1949-08,23.7,6.8
20,1949-09,23.75,6.6
21,1949-10,23.67,7.9
22,1949-11,23.7,6.4
23,1949-12,23.61,6.6
24,1950-01,23.51,6.5
25,1950-02,23.61,6.4
26,1950-03,23.64,6.3
27,1950-04,23.65,5.8
28,1950-05,23.77,5.5
29,1950-06,23.88,5.4
30,1950-07,24.07,5.0
31,1950-08,24.2,4.5
32,1950-09,24.34,4.4
33,1950-10,24.5,4.2
34,1950-11,24.6,4.2
35,1950-12,24.98,4.3
36,1951-01,25.38,3.7
37,1951-02,25.83,3.4
38,1951-03,25.88,3.4
39,1951-04,25.92,3.1
40,1951-05,25.99,3.0
41,1951-06,25.93,3.2
42,1951-07,25.91,3.1
43,1951-08,25.86,3.1
44,1951-09,26.03,3.3
45,1951-10,26.16,3.5
46,1951-11,26.32,3.5
47,1951-12,26.47,3.1
48,1952-01,26.45,3.2
49,1952-02,26.41,3.1
50,1952-03,26.39,2.9
51,1952-04,26.46,2.9
52,1952-05,26.47,3.0
53,1952-06,26.53,3.0
54,1952-07,26.68,3.2
55,1952-08,26.69,3.4
56,1952-09,26.63,3.1
57,1952-10,26.69,3.0
58,1952-11,26.69,2.8
59,1952-12,26.71,2.7
60,1953-01,26.64,2.9
61,1953-02,26.59,2.6
62,1953-03,26.63,2.6
63,1953-04,26.69,2.7
64,1953-05,26.7,2.5
65,1953-06,26.77,2.5
66,1953-07,26.79,2.6
67,1953-08,26.85,2.7
68,1953-09,26.89,2.9
69,1953-10,26.95,3.1
70,1953-11,26.85,3.5
71,1953-12,26.87,4.5
72,1954-01,26.94,4.9
73,1954-02,26.99,5.2
74,1954-03,26.93,5.7
75,1954-04,26.86,5.9
76,1954-05,26.93,5.9
77,1954-06,26.94,5.6
78,1954-07,26.86,5.8
79,1954-08,26.85,6.0
80,1954-09,26.81,6.1
81,1954-10,26.72,5.7
82,1954-11,26.78,5.3
83,1954-12,26.77,5.0
84,1955-01,26.77,4.9
85,1955-02,26.82,4.7
86,1955-03,26.79,4.6
87,1955-04,26.79,4.7
88,1955-05,26.77,4.3
89,1955-06,26.71,4.2
90,1955-07,26.76,4.0
91,1955-08,26.72,4.2
92,1955-09,26.85,4.1
93,1955-10,26.82,4.3
94,1955-11,26.88,4.2
95,1955-12,26.87,4.2
96,1956-01,26.83,4.0
97,1956-02,26.86,3.9
98,1956-03,26.89,4.2
99,1956-04,26.93,4.0
100,1956-05,27.03,4.3
101,1956-06,27.15,4.3
102,1956-07,27.29,4.4
103,1956-08,27.31,4.1
104,1956-09,27.35,3.9
105,1956-10,27.51,3.9
106,1956-11,27.51,4.3
107,1956-12,27.63,4.2
108,1957-01,27.67,4.2
109,1957-02,27.8,3.9
110,1957-03,27.86,3.7
111,1957-04,27.93,3.9
112,1957-05,28.0,4.1
113,1957-06,28.11,4.3
114,1957-07,28.19,4.2
115,1957-08,28.28,4.1
116,1957-09,28.32,4.4
117,1957-10,28.32,4.5
118,1957-11,28.41,5.1
119,1957-12,28.47,5.2
120,1958-01,28.64,5.8
121,1958-02,28.7,6.4
122,1958-03,28.87,6.7
123,1958-04,28.94,7.4
124,1958-05,28.94,7.4
125,1958-06,28.91,7.3
126,1958-07,28.89,7.5
127,1958-08,28.94,7.4
128,1958-09,28.91,7.1
129,1958-10,28.91,6.7
130,1958-11,28.95,6.2
131,1958-12,28.97,6.2
132,1959-01,29.01,6.0
133,1959-02,29.0,5.9
134,1959-03,28.97,5.6
135,1959-04,28.98,5.2
136,1959-05,29.04,5.1
137,1959-06,29.11,5.0
138,1959-07,29.15,5.1
139,1959-08,29.18,5.2
140,1959-09,29.25,5.5
141,1959-10,29.35,5.7
142,1959-11,29.35,5.8
143,1959-12,29.41,5.3
144,1960-01,29.37,5.2
145,1960-02,29.41,4.8
146,1960-03,29.41,5.4
147,1960-04,29.54,5.2
148,1960-05,29.57,5.1
149,1960-06,29.61,5.4
150,1960-07,29.55,5.5
151,1960-08,29.61,5.6
152,1960-09,29.61,5.5
153,1960-10,29.75,6.1
154,1960-11,29.78,6.1
155,1960-12,29.81,6.6
156,1961-01,29.84,6.6
157,1961-02,29.84,6.9
158,1961-03,29.84,6.9
159,1961-04,29.81,7.0
160,1961-05,29.84,7.1
161,1961-06,29.84,6.9
162,1961-07,29.92,7.0
163,1961-08,29.94,6.6
164,1961-09,29.98,6.7
165,1961-10,29.98,6.5
166,1961-11,29.98,6.1
167,1961-12,30.01,6.0
168,1962-01,30.04,5.8
169,1962-02,30.11,5.5
170,1962-03,30.17,5.6
171,1962-04,30.21,5.6
172,1962-05,30.24,5.5
173,1962-06,30.21,5.5
174,1962-07,30.22,5.4
175,1962-08,30.28,5.7
176,1962-09,30.42,5.6
177,1962-10,30.38,5.4
178,1962-11,30.38,5.7
179,1962-12,30.38,5.5
180,1963-01,30.44,5.7
181,1963-02,30.48,5.9
182,1963-03,30.51,5.7
183,1963-04,30.48,5.7
184,1963-05,30.51,5.9
185,1963-06,30.61,5.6
186,1963-07,30.69,5.6
187,1963-08,30.75,5.4
188,1963-09,30.72,5.5
189,1963-10,30.75,5.5
190,1963-11,30.78,5.7
191,1963-12,30.88,5.5
192,1964-01,30.94,5.6
193,1964-02,30.91,5.4
194,1964-03,30.94,5.4
195,1964-04,30.95,5.3
196,1964-05,30.98,5.1
197,1964-06,31.01,5.2
198,1964-07,31.02,4.9
199,1964-08,31.05,5.0
200,1964-09,31.08,5.1
201,1964-10,31.12,5.1
202,1964-11,31.21,4.8
203,1964-12,31.25,5.0
204,1965-01,31.28,4.9
205,1965-02,31.28,5.1
206,1965-03,31.31,4.7
